game_id,play_id,stat_id,type,yards,team_abbr,player_name,gsis_player_id
2008_02_BUF_JAX,3645,23,lateral_receiving,0,BUF,M.Jones-Drew,00-0024275
2008_02_IND_MIN,2654,23,lateral_receiving,17,IND,R.Wayne,00-0020498
2008_02_SD_DEN,2151,23,lateral_receiving,3,DEN,B.Stokley,00-0015754
2008_02_PHI_DAL,4247,23,lateral_receiving,1,PHI,H.Baskett,00-0024013
2008_02_PHI_DAL,4247,23,lateral_receiving,2,PHI,B.Westbrook,00-0021216
2008_03_NO_DEN,4194,23,lateral_receiving,-2,NO,L.Moore,00-0023310
2008_06_MIA_HOU,4000,23,lateral_receiving,-3,MIA,S.Satele,00-0025447
2008_06_MIA_HOU,4000,23,lateral_receiving,0,MIA,J.Smiley,00-0022895
2008_07_DET_HOU,3608,23,lateral_receiving,-7,DET,S.McDonald,00-0021981
2008_08_OAK_BAL,1678,12,lateral_rushing,19,BAL,R.Rice,00-0026195
2008_09_JAX_CIN,4156,23,lateral_receiving,-3,JAC,M.Jones-Drew,00-0024275
2008_10_KC_SD,1539,23,lateral_receiving,11,SD,L.Tomlinson,00-0020536
2008_13_KC_OAK,332,23,lateral_receiving,16,OAK,D.McFadden,00-0026144
2008_15_SD_KC,2944,23,lateral_receiving,8,KC,L.Johnson,00-0021976
2008_17_MIA_NYJ,3894,23,lateral_receiving,2,NYJ,B.Favre,00-0005106
2008_17_MIA_NYJ,3965,23,lateral_receiving,11,NYJ,L.Coles,00-0018958
2008_17_MIA_NYJ,3965,23,lateral_receiving,-7,NYJ,B.Smith,00-0024318
2008_17_MIA_NYJ,3965,23,lateral_receiving,-1,NYJ,D.Revis,00-0025401
2008_17_MIA_NYJ,3965,23,lateral_receiving,11,NYJ,A.Carroll,00-0022913
2008_20_PHI_ARI,4192,23,lateral_receiving,0,PHI,B.Westbrook,00-0021216
