game_id,play_id,stat_id,type,yards,team_abbr,player_name,gsis_player_id
2015_04_PHI_WAS,4503,23,lateral_receiving,4,PHI,N.Agholor,00-0031549
2015_06_CAR_SEA,4184,23,lateral_receiving,-2,SEA,R.Lockette,00-0028442
2015_06_CAR_SEA,4184,23,lateral_receiving,0,SEA,J.Britt,00-0031282
2015_09_GB_CAR,4527,23,lateral_receiving,-12,GB,D.Adams,00-0031381
2015_09_GB_CAR,4527,23,lateral_receiving,0,GB,R.Cobb,00-0028002
2015_09_NYG_TB,4213,23,lateral_receiving,-5,TB,M.Evans,00-0031408
2015_12_OAK_TEN,2018,23,lateral_receiving,-12,OAK,A.Cooper,00-0031544
2015_12_OAK_TEN,2018,23,lateral_receiving,0,OAK,D.Carr,00-0031280
2015_12_NYG_WAS,4496,23,lateral_receiving,-4,NYG,O.Beckham Jr.,00-0031235
2015_12_NYG_WAS,4496,23,lateral_receiving,-4,NYG,R.Randle,00-0029262
2015_12_NYG_WAS,4496,23,lateral_receiving,0,NYG,E.Manning,00-0022803
2015_13_GB_DET,4187,23,lateral_receiving,-16,GB,R.Rodgers,00-0031384
2015_13_GB_DET,4187,23,lateral_receiving,0,GB,A.Rodgers,00-0023459
2015_13_BAL_MIA,3878,23,lateral_receiving,10,BAL,J.Allen,00-0031577
2015_16_PIT_BAL,4107,23,lateral_receiving,-7,PIT,A.Brown,00-0027793
2015_16_PIT_BAL,4107,23,lateral_receiving,-3,PIT,B.Roethlisberger,00-0022924
2015_18_SEA_MIN,444,12,lateral_rushing,4,SEA,J.Ryan,00-0023742
2015_21_CAR_DEN,4452,23,lateral_receiving,8,CAR,F.Whittaker,00-0029731
