game_id,play_id,stat_id,type,yards,team_abbr,player_name,gsis_player_id
2018_02_PHI_TB,4196,23,lateral_receiving,-7,PHI,N.Agholor,00-0031549
2018_02_PHI_TB,4196,23,lateral_receiving,-5,PHI,N.Foles,00-0029567
2018_02_PHI_TB,4196,23,lateral_receiving,0,PHI,W.Smallwood,00-0032782
2018_02_OAK_DEN,1814,23,lateral_receiving,11,DEN,E.Sanders,00-0027685
2018_03_TEN_JAX,3803,23,lateral_receiving,2,JAX,D.Westbrook,00-0033839
2018_03_TEN_JAX,3803,23,lateral_receiving,10,JAX,T.Yeldon,00-0032209
2018_03_TEN_JAX,3864,23,lateral_receiving,-4,JAX,D.Moncrief,00-0031339
2018_06_PHI_NYG,1692,23,lateral_receiving,3,PHI,A.Jeffery,00-0029137
2018_08_DEN_KC,4282,23,lateral_receiving,0,DEN,T.Patrick,00-0033375
2018_08_DEN_KC,4282,23,lateral_receiving,-9,DEN,E.Sanders,00-0027685
2018_08_NO_MIN,570,12,lateral_rushing,3,MIN,K.Cousins,00-0029604
2018_09_PIT_BAL,4347,23,lateral_receiving,-8,BAL,J.Allen,00-0031577
2018_09_PIT_BAL,4347,23,lateral_receiving,-2,BAL,J.Brown,00-0031051
2018_10_DAL_PHI,2319,23,lateral_receiving,6,PHI,G.Tate,00-0027891
2018_10_DAL_PHI,3990,23,lateral_receiving,0,PHI,G.Tate,00-0027891
2018_11_CIN_BAL,3072,12,lateral_rushing,5,BAL,T.Montgomery,00-0032200
2018_12_NYG_PHI,4120,23,lateral_receiving,0,NYG,O.Beckham,00-0031235
2018_12_ARI_LAC,2263,23,lateral_receiving,0,LAC,M.Gordon,00-0032144
2018_13_WAS_PHI,3296,23,lateral_receiving,4,WAS,C.Thompson,00-0030404
2018_14_NE_MIA,4172,23,lateral_receiving,3,MIA,D.Parker,00-0031547
2018_14_NE_MIA,4172,24,lateral_receiving,52,MIA,K.Drake,00-0033118
2018_14_PIT_OAK,4221,23,lateral_receiving,43,PIT,J.Smith-Schuster,00-0033857
2018_15_SEA_SF,3086,12,lateral_rushing,7,SEA,T.Lockett,00-0032211
