game_id,play_id,stat_id,type,yards,team_abbr,player_name,gsis_player_id
2014_02_NYJ_GB,407,12,lateral_rushing,37,NYJ,J.Kerley,00-0028091
2014_04_TB_PIT,4742,23,lateral_receiving,-10,PIT,M.Wheaton,00-0030460
2014_04_TB_PIT,4742,23,lateral_receiving,-6,PIT,B.Roethlisberger,00-0022924
2014_06_GB_MIA,4063,23,lateral_receiving,0,MIA,B.Hartline,00-0027077
2014_06_GB_MIA,4063,23,lateral_receiving,0,MIA,R.Tannehill,00-0029701
2014_06_GB_MIA,4063,23,lateral_receiving,13,MIA,L.Miller,00-0029615
2014_08_SEA_CAR,1202,12,lateral_rushing,8,CAR,C.Newton,00-0027939
2014_10_KC_BUF,4524,23,lateral_receiving,-7,BUF,C.Hogan,00-0028237
2014_10_MIA_DET,4209,23,lateral_receiving,-11,MIA,B.Hartline,00-0027077
2014_11_ATL_CAR,4139,23,lateral_receiving,9,CAR,J.Cotchery,00-0022811
2014_11_ATL_CAR,4192,23,lateral_receiving,-1,CAR,G.Olsen,00-0025418
2014_15_NYJ_TEN,4209,23,lateral_receiving,0,TEN,N.Washington,00-0023367
2014_15_NYJ_TEN,4209,23,lateral_receiving,10,TEN,C.Whitehurst,00-0024296
2014_15_NYJ_TEN,4209,23,lateral_receiving,33,TEN,D.Walker,00-0024389
2014_18_ARI_CAR,4333,23,lateral_receiving,0,ARI,M.Floyd,00-0029638
2014_18_ARI_CAR,4333,23,lateral_receiving,2,ARI,S.Taylor,00-0030282
2014_18_ARI_CAR,4333,23,lateral_receiving,0,ARI,J.Carlson,00-0026178
2014_18_ARI_CAR,4333,23,lateral_receiving,-5,ARI,L.Sendlein,00-0025682
2014_18_ARI_CAR,4333,23,lateral_receiving,-21,ARI,M.Floyd,00-0029638
